iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
560,0.0066649245,0.009515784,0.0078493778,0.98358652,0.9769553073,0.9812849162,0.9073891626,0.868,0.8928,20.910512718
570,0.0066604324,0.0095091338,0.0078476048,0.9836738257,0.9766061453,0.9810055866,0.9079271295,0.8657314629,0.891025641,21.279099603
580,0.0066587917,0.0095064557,0.0078429829,0.98358652,0.9769553073,0.9812849162,0.9073891626,0.8674698795,0.8928,21.643977073
590,0.0066586422,0.0094961597,0.0078384616,0.98358652,0.9769553073,0.9810055866,0.9073891626,0.8674698795,0.891025641,22.006830114
600,0.0066525119,0.0094909415,0.0078423731,0.98358652,0.9766061453,0.9810055866,0.9073891626,0.8657314629,0.891025641,22.369584871
610,0.0066499666,0.0094924184,0.0078456509,0.98358652,0.9766061453,0.9810055866,0.9073891626,0.8657314629,0.891025641,22.734943376
620,0.0066456308,0.0095009126,0.007849176,0.9836738257,0.9766061453,0.9812849162,0.9078363726,0.8657314629,0.8924558587,23.097343629
630,0.0066443857,0.0094930554,0.0078471504,0.9836738257,0.9769553073,0.9810055866,0.9079271295,0.868,0.891025641,23.461796705
640,0.006640452,0.0094948703,0.0078509638,0.9837611315,0.9769553073,0.9810055866,0.9083743842,0.868,0.891025641,23.830289371
650,0.0066396549,0.0094915593,0.0078532959,0.9837611315,0.9766061453,0.9810055866,0.9083743842,0.8657314629,0.891025641,24.200196411
660,0.0066383069,0.0094892663,0.0078572823,0.9837611315,0.9766061453,0.9810055866,0.9083743842,0.8657314629,0.891025641,24.568168449
670,0.0066389825,0.0094961988,0.0078664555,0.98358652,0.9766061453,0.9810055866,0.9073891626,0.8657314629,0.891025641,24.932975221
680,0.0066347217,0.0095072774,0.0078773218,0.9836738257,0.9766061453,0.9810055866,0.9079271295,0.8657314629,0.891025641,25.298231516
690,0.006634438,0.0095031283,0.0078831687,0.9836738257,0.9766061453,0.9810055866,0.9079271295,0.8657314629,0.891025641,25.666272826
700,0.0066335763,0.0095119065,0.0078953481,0.98358652,0.9766061453,0.9810055866,0.9073891626,0.8657314629,0.891025641,26.034944908
710,0.006629304,0.009503548,0.0078881836,0.9834992142,0.9766061453,0.980726257,0.9069423929,0.8657314629,0.8896,26.403411843
720,0.0066259864,0.0095022565,0.0078890889,0.98358652,0.9769553073,0.980726257,0.907480315,0.868,0.8896,26.769774536
730,0.0066249992,0.0095007037,0.0078908209,0.98358652,0.9769553073,0.980726257,0.907480315,0.868,0.8896,27.141439997
740,0.0066231068,0.0094989382,0.0078927307,0.98358652,0.9769553073,0.980726257,0.907480315,0.868,0.8896,27.508789359
750,0.0066218061,0.0095001402,0.007900358,0.98358652,0.9766061453,0.980726257,0.9073891626,0.8657314629,0.8896,27.879785379
760,0.0066175046,0.0095111058,0.0079086382,0.9836738257,0.9766061453,0.9810055866,0.9079271295,0.8657314629,0.891025641,28.24750146
770,0.0066158385,0.009501312,0.0079081688,0.9836738257,0.9766061453,0.980726257,0.9080177078,0.8657314629,0.8896,28.616408536
780,0.0066143504,0.0095040338,0.0079148495,0.9836738257,0.9766061453,0.9810055866,0.9078363726,0.8657314629,0.891025641,28.985715707
790,0.0066095596,0.0094946607,0.0079144524,0.9838484372,0.9766061453,0.980726257,0.9089118661,0.8657314629,0.8896,29.354592709
800,0.0066064398,0.0094897577,0.0079188877,0.983935743,0.9766061453,0.9810055866,0.9094488189,0.8657314629,0.891025641,29.721354285
810,0.0066038293,0.0094852809,0.0079219644,0.983935743,0.9766061453,0.980726257,0.9094488189,0.8657314629,0.8896,30.087739338
820,0.0066027748,0.0094783872,0.0079266478,0.9837611315,0.9766061453,0.9810055866,0.9083743842,0.8657314629,0.891025641,30.453739416
830,0.0066008093,0.0094759214,0.0079176724,0.983935743,0.9766061453,0.980726257,0.9094488189,0.8657314629,0.8896,30.823972786
840,0.0065998797,0.0094851144,0.0079194846,0.9838484372,0.9766061453,0.9810055866,0.9089118661,0.8657314629,0.891025641,31.195891105
850,0.0065988384,0.0094943033,0.0079170162,0.9838484372,0.9766061453,0.9812849162,0.9089118661,0.8657314629,0.8924558587,31.565271838
860,0.0065979389,0.0094962423,0.0079165312,0.9838484372,0.9766061453,0.9812849162,0.9089118661,0.8657314629,0.8924558587,31.935486656
870,0.0065953032,0.0094988177,0.0079172466,0.983935743,0.9766061453,0.9810055866,0.9094488189,0.8657314629,0.891025641,32.304537942
880,0.006593146,0.0095001081,0.007914049,0.9838484372,0.9766061453,0.9810055866,0.9089118661,0.8657314629,0.891025641,32.672676606
890,0.0065910706,0.0095027609,0.0079191259,0.9838484372,0.9766061453,0.9812849162,0.9089118661,0.8657314629,0.8924558587,33.038642633
900,0.0065904592,0.0095055698,0.0079197164,0.9838484372,0.9766061453,0.9812849162,0.9089118661,0.8657314629,0.8924558587,33.406168109
910,0.0065879106,0.0094980289,0.0079188271,0.9838484372,0.9766061453,0.9815642458,0.9089118661,0.8657314629,0.8938906752,33.771425767
920,0.0065872733,0.0095077901,0.0079171339,0.983935743,0.9766061453,0.9815642458,0.9094488189,0.8657314629,0.8938906752,34.138725786
930,0.0065853772,0.0095132919,0.0079191695,0.983935743,0.9766061453,0.9812849162,0.9094488189,0.8657314629,0.8924558587,34.505479415
940,0.0065836992,0.009513606,0.0079276745,0.9838484372,0.9766061453,0.9810055866,0.9089118661,0.8657314629,0.891025641,34.873405568
950,0.0065812558,0.0095140438,0.0079305061,0.9838484372,0.9766061453,0.9815642458,0.9089118661,0.8657314629,0.8938906752,35.239989869
960,0.0065802992,0.0095165163,0.0079289784,0.983935743,0.9773044693,0.980726257,0.9094488189,0.869739479,0.8896,35.607306939
970,0.0065777466,0.00952258,0.0079288692,0.9840230487,0.9773044693,0.9812849162,0.9099852435,0.869739479,0.8924558587,35.976006486
980,0.0065770602,0.0095274834,0.0079307633,0.9840230487,0.9766061453,0.9812849162,0.9099852435,0.8657314629,0.8924558587,36.349370155
990,0.0065764076,0.0095325766,0.007935111,0.983935743,0.9766061453,0.9812849162,0.9094488189,0.8657314629,0.8924558587,36.717259304
1000,0.006574051,0.0095474161,0.0079360787,0.983935743,0.9769553073,0.9812849162,0.9094488189,0.868,0.8924558587,37.085414554
1010,0.006572415,0.0095573085,0.0079327548,0.9840230487,0.9769553073,0.9804469274,0.9099852435,0.868,0.8878205128,37.454809845
1020,0.0065663513,0.0095959428,0.0079376781,0.9840230487,0.9769553073,0.9804469274,0.9098966027,0.8674698795,0.8874598071,37.825111915
1030,0.0065571763,0.0095984752,0.0079400193,0.9840230487,0.9769553073,0.9804469274,0.9101620029,0.869047619,0.8878205128,38.193287526
1040,0.0065543039,0.0096029253,0.0079485716,0.9840230487,0.9780027933,0.9801675978,0.9100737101,0.874251497,0.886035313,38.565819732
1050,0.0065476056,0.0096087706,0.0079613758,0.9841103545,0.9776536313,0.9804469274,0.9104330709,0.872,0.8874598071,38.932369838
1060,0.0065439994,0.0096051722,0.0079577486,0.9841103545,0.9780027933,0.9801675978,0.9105211406,0.874251497,0.886035313,39.301967128
1070,0.0065382592,0.0096122504,0.0079715984,0.984284966,0.9780027933,0.9796089385,0.9114173228,0.874251497,0.8828250401,39.672252902
1080,0.0065387693,0.0095996862,0.0079763638,0.9841976602,0.9776536313,0.9796089385,0.9109690113,0.872,0.8828250401,40.061535032
